"file","group","year","parsed"
"data/input/awards/0000050.xml",1,2001-01-09,1
"data/input/awards/0000121.xml",1,2000-01-06,1
"data/input/awards/0000164.xml",1,2000-01-09,1
"data/input/awards/0000180.xml",1,NA,NA
"data/input/awards/0000196.xml",1,2000-01-06,1
"data/input/awards/0000219.xml",1,NA,NA
"data/input/awards/0000244.xml",1,2000-01-06,1
"data/input/awards/0000262.xml",1,2000-01-09,1
"data/input/awards/0000275.xml",1,NA,NA
"data/input/awards/0000295.xml",1,2000-01-11,1
"data/input/awards/0000320.xml",1,1999-01-12,NA
"data/input/awards/0000341.xml",1,2000-01-11,1
"data/input/awards/0000364.xml",1,2000-01-09,1
"data/input/awards/0000388.xml",1,2000-01-04,1
"data/input/awards/0000412.xml",1,1999-01-12,NA
"data/input/awards/0000434.xml",1,2000-01-09,1
"data/input/awards/0000473.xml",1,NA,NA
"data/input/awards/0000487.xml",1,NA,NA
"data/input/awards/0000523.xml",1,2000-01-06,1
"data/input/awards/0000546.xml",1,2000-01-08,1
"data/input/awards/0000569.xml",1,2000-01-04,1
"data/input/awards/0000586.xml",1,2000-01-09,1
"data/input/awards/0000615.xml",1,2000-01-09,1
"data/input/awards/0000649.xml",1,2000-01-09,1
"data/input/awards/0000718.xml",1,2000-01-09,1
"data/input/awards/0000736.xml",1,1999-01-12,NA
"data/input/awards/0000843.xml",1,NA,NA
"data/input/awards/0000897.xml",1,2000-01-09,1
"data/input/awards/0000923.xml",1,2000-01-09,1
"data/input/awards/0000950.xml",1,2000-01-06,1
"data/input/awards/0000965.xml",1,2000-01-06,1
"data/input/awards/0000989.xml",1,NA,NA
"data/input/awards/0001015.xml",1,2000-01-07,1
"data/input/awards/0001036.xml",1,NA,NA
"data/input/awards/0001052.xml",1,2000-01-07,1
"data/input/awards/0001086.xml",1,2000-01-08,1
"data/input/awards/0001112.xml",1,2000-01-04,1
"data/input/awards/0001128.xml",1,2000-01-08,1
"data/input/awards/0001144.xml",1,2000-01-07,1
"data/input/awards/0001165.xml",1,2000-01-09,1
"data/input/awards/0001208.xml",1,NA,NA
"data/input/awards/0001236.xml",1,2001-01-02,1
"data/input/awards/0001259.xml",1,NA,NA
"data/input/awards/0001285.xml",1,2000-01-01,1
"data/input/awards/0001306.xml",1,NA,NA
"data/input/awards/0001327.xml",1,2000-01-10,1
"data/input/awards/0001347.xml",1,NA,NA
"data/input/awards/0001379.xml",1,NA,NA
"data/input/awards/0001402.xml",1,2000-01-06,1
"data/input/awards/0001429.xml",1,2000-01-01,1
"data/input/awards/0001454.xml",1,2000-01-06,1
"data/input/awards/0001484.xml",1,2000-01-08,1
"data/input/awards/0001523.xml",1,2000-01-09,1
"data/input/awards/0001545.xml",1,NA,NA
"data/input/awards/0001581.xml",1,2000-01-09,1
"data/input/awards/0001622.xml",1,2000-01-09,1
"data/input/awards/0001661.xml",1,2000-01-07,1
"data/input/awards/0001679.xml",1,NA,NA
"data/input/awards/0001704.xml",1,2000-01-07,1
"data/input/awards/0001724.xml",1,NA,NA
"data/input/awards/0001749.xml",1,2000-01-07,1
"data/input/awards/0001781.xml",1,2000-01-07,1
"data/input/awards/0001800.xml",1,NA,NA
"data/input/awards/0001825.xml",1,2000-01-09,1
"data/input/awards/0001874.xml",1,NA,NA
"data/input/awards/0001892.xml",1,2000-01-10,1
"data/input/awards/0001905.xml",1,NA,NA
"data/input/awards/0001930.xml",1,2001-01-03,1
"data/input/awards/0001952.xml",1,NA,NA
"data/input/awards/0001966.xml",1,2000-01-08,1
"data/input/awards/0001988.xml",1,2001-01-01,1
"data/input/awards/0002008.xml",1,2000-01-04,1
"data/input/awards/0002035.xml",1,NA,NA
"data/input/awards/0002061.xml",1,2000-01-08,1
"data/input/awards/0002087.xml",1,2000-01-05,1
"data/input/awards/0002126.xml",1,2000-01-09,1
"data/input/awards/0002144.xml",1,2001-01-02,1
"data/input/awards/0002181.xml",1,2000-01-08,1
"data/input/awards/0002200.xml",1,2000-01-08,1
"data/input/awards/0002219.xml",1,2000-01-08,1
"data/input/awards/0002235.xml",1,2001-01-05,1
"data/input/awards/0002256.xml",1,2001-01-03,1
"data/input/awards/0002288.xml",1,NA,NA
"data/input/awards/0002313.xml",1,2001-01-01,1
"data/input/awards/0002341.xml",1,2000-01-03,1
"data/input/awards/0002362.xml",1,NA,NA
"data/input/awards/0002385.xml",1,2001-01-01,1
"data/input/awards/0002417.xml",1,2001-01-07,1
"data/input/awards/0002459.xml",1,2000-01-09,1
"data/input/awards/0002479.xml",1,NA,NA
"data/input/awards/0002513.xml",1,2001-01-01,1
"data/input/awards/0002540.xml",1,2001-01-01,1
"data/input/awards/0002570.xml",1,2000-01-10,1
"data/input/awards/0002604.xml",1,2001-01-04,1
"data/input/awards/0002628.xml",1,NA,NA
"data/input/awards/0002653.xml",1,2000-01-07,1
"data/input/awards/0002672.xml",1,2000-01-10,1
"data/input/awards/0002690.xml",1,2000-01-06,1
"data/input/awards/0002718.xml",1,NA,NA
"data/input/awards/0002742.xml",1,NA,NA
"data/input/awards/0002774.xml",1,2000-01-06,1
"data/input/awards/0002805.xml",1,2000-01-06,1
"data/input/awards/0002831.xml",1,2000-01-08,1
"data/input/awards/0002860.xml",1,2000-01-10,1
"data/input/awards/0002891.xml",1,2000-01-06,1
"data/input/awards/0002918.xml",1,2001-01-05,1
"data/input/awards/0002956.xml",1,2001-01-02,1
"data/input/awards/0002980.xml",1,NA,NA
"data/input/awards/0003007.xml",1,2000-01-07,1
"data/input/awards/0003023.xml",1,2000-01-11,1
"data/input/awards/0003049.xml",1,2000-01-09,1
"data/input/awards/0003069.xml",1,2000-01-06,1
"data/input/awards/0003086.xml",1,2000-01-10,1
"data/input/awards/0003111.xml",1,2000-01-10,1
"data/input/awards/0003140.xml",1,NA,NA
"data/input/awards/0003158.xml",1,2000-01-07,1
"data/input/awards/0003182.xml",1,2001-01-03,1
"data/input/awards/0003201.xml",1,2001-01-03,1
"data/input/awards/0003225.xml",1,2001-01-09,1
"data/input/awards/0003248.xml",1,NA,NA
"data/input/awards/0003266.xml",1,NA,NA
"data/input/awards/0003281.xml",1,2000-01-11,1
"data/input/awards/0003315.xml",1,2001-01-01,1
"data/input/awards/0003348.xml",1,NA,NA
"data/input/awards/0003367.xml",1,2001-01-06,1
"data/input/awards/0003393.xml",1,2001-01-01,1
"data/input/awards/0003419.xml",1,2001-01-05,1
"data/input/awards/0003443.xml",1,2001-01-01,1
"data/input/awards/0003467.xml",1,2001-01-02,1
"data/input/awards/0003502.xml",1,2001-01-03,1
"data/input/awards/0003528.xml",1,2001-01-01,1
"data/input/awards/0003543.xml",1,2001-01-06,1
"data/input/awards/0003565.xml",1,NA,NA
"data/input/awards/0003580.xml",1,2001-01-05,1
"data/input/awards/0003610.xml",1,2001-01-05,1
"data/input/awards/0003628.xml",1,NA,NA
"data/input/awards/0003658.xml",1,2000-01-09,1
"data/input/awards/0003682.xml",1,2000-01-10,1
"data/input/awards/0003700.xml",1,2000-01-09,1
"data/input/awards/0003715.xml",1,NA,NA
"data/input/awards/0003732.xml",1,2000-01-08,1
"data/input/awards/0003745.xml",1,2002-01-09,1
"data/input/awards/0003778.xml",1,NA,NA
"data/input/awards/0003802.xml",1,2001-01-04,1
"data/input/awards/0003822.xml",1,2000-01-09,1
"data/input/awards/0003839.xml",1,NA,NA
"data/input/awards/0003865.xml",1,NA,NA
"data/input/awards/0003882.xml",1,NA,NA
"data/input/awards/0003903.xml",1,2001-01-06,1
"data/input/awards/0003932.xml",1,NA,NA
"data/input/awards/0003956.xml",1,NA,NA
"data/input/awards/0003981.xml",1,2000-01-09,1
"data/input/awards/0004031.xml",1,2001-01-06,1
"data/input/awards/0004056.xml",1,2000-01-10,1
"data/input/awards/0004077.xml",1,2001-01-04,1
"data/input/awards/0004101.xml",1,NA,NA
"data/input/awards/0004122.xml",1,NA,NA
"data/input/awards/0004136.xml",1,2000-01-09,1
"data/input/awards/0004151.xml",1,NA,NA
"data/input/awards/0004168.xml",1,2000-08-08,1
"data/input/awards/0004200.xml",1,2001-01-04,1
"data/input/awards/0004226.xml",1,2000-01-10,1
"data/input/awards/0004241.xml",1,NA,NA
"data/input/awards/0004256.xml",1,2001-01-02,1
"data/input/awards/0004272.xml",1,2001-01-02,1
"data/input/awards/0004290.xml",1,2001-01-05,1
"data/input/awards/0004326.xml",1,NA,NA
"data/input/awards/0004357.xml",1,NA,NA
"data/input/awards/0004380.xml",1,2001-01-06,1
"data/input/awards/0004410.xml",1,2001-01-01,1
"data/input/awards/0004436.xml",1,NA,NA
"data/input/awards/0004471.xml",1,2001-01-04,1
"data/input/awards/0004498.xml",1,NA,NA
"data/input/awards/0004531.xml",1,NA,NA
"data/input/awards/0010017.xml",1,NA,NA
"data/input/awards/0010061.xml",1,NA,NA
"data/input/awards/0010098.xml",1,2001-01-09,1
"data/input/awards/0010126.xml",1,NA,NA
"data/input/awards/0043275.xml",1,2000-01-09,1
"data/input/awards/0049010.xml",1,2000-01-09,1
"data/input/awards/0049020.xml",1,NA,NA
"data/input/awards/0049031.xml",1,2000-06-07,1
"data/input/awards/0049041.xml",1,2000-01-09,1
"data/input/awards/0049051.xml",1,NA,NA
"data/input/awards/0049062.xml",1,2000-01-09,1
"data/input/awards/0049072.xml",1,NA,NA
"data/input/awards/0049082.xml",1,2000-01-07,1
"data/input/awards/0049092.xml",1,2000-01-06,1
"data/input/awards/0053262.xml",1,2000-01-07,1
"data/input/awards/0053285.xml",1,2000-01-07,1
"data/input/awards/0053307.xml",1,2000-01-08,1
