"file","group","year","parsed"
"data/input/awards/0000000.xml",2,1986-01-07,NA
"data/input/awards/0000051.xml",2,NA,NA
"data/input/awards/0000125.xml",2,2000-01-09,1
"data/input/awards/0000167.xml",2,NA,NA
"data/input/awards/0000181.xml",2,NA,NA
"data/input/awards/0000197.xml",2,2000-01-07,1
"data/input/awards/0000225.xml",2,NA,NA
"data/input/awards/0000246.xml",2,2000-01-09,1
"data/input/awards/0000265.xml",2,2000-01-07,1
"data/input/awards/0000278.xml",2,2000-01-05,1
"data/input/awards/0000296.xml",2,NA,NA
"data/input/awards/0000329.xml",2,NA,NA
"data/input/awards/0000342.xml",2,2000-01-01,1
"data/input/awards/0000365.xml",2,2001-01-02,1
"data/input/awards/0000389.xml",2,2000-01-09,1
"data/input/awards/0000417.xml",2,2000-01-10,1
"data/input/awards/0000439.xml",2,NA,NA
"data/input/awards/0000474.xml",2,2000-01-08,1
"data/input/awards/0000488.xml",2,2000-01-04,1
"data/input/awards/0000526.xml",2,2000-01-08,1
"data/input/awards/0000548.xml",2,2000-01-06,1
"data/input/awards/0000572.xml",2,2000-01-09,1
"data/input/awards/0000589.xml",2,2000-01-10,1
"data/input/awards/0000616.xml",2,NA,NA
"data/input/awards/0000651.xml",2,1999-01-12,NA
"data/input/awards/0000719.xml",2,NA,NA
"data/input/awards/0000741.xml",2,NA,NA
"data/input/awards/0000858.xml",2,NA,NA
"data/input/awards/0000898.xml",2,2000-01-02,1
"data/input/awards/0000924.xml",2,2000-01-07,1
"data/input/awards/0000951.xml",2,2000-01-04,1
"data/input/awards/0000976.xml",2,2000-01-01,1
"data/input/awards/0000990.xml",2,NA,NA
"data/input/awards/0001016.xml",2,2000-01-08,1
"data/input/awards/0001037.xml",2,NA,NA
"data/input/awards/0001054.xml",2,2000-01-09,1
"data/input/awards/0001087.xml",2,NA,NA
"data/input/awards/0001113.xml",2,2000-01-07,1
"data/input/awards/0001130.xml",2,2000-01-06,1
"data/input/awards/0001146.xml",2,2000-01-09,1
"data/input/awards/0001168.xml",2,2000-01-07,1
"data/input/awards/0001209.xml",2,NA,NA
"data/input/awards/0001237.xml",2,2000-01-06,1
"data/input/awards/0001262.xml",2,2000-01-09,1
"data/input/awards/0001286.xml",2,NA,NA
"data/input/awards/0001307.xml",2,NA,NA
"data/input/awards/0001331.xml",2,2000-01-09,1
"data/input/awards/0001348.xml",2,2000-01-08,1
"data/input/awards/0001381.xml",2,2000-01-04,1
"data/input/awards/0001407.xml",2,NA,NA
"data/input/awards/0001432.xml",2,NA,NA
"data/input/awards/0001455.xml",2,NA,NA
"data/input/awards/0001494.xml",2,2000-01-09,1
"data/input/awards/0001524.xml",2,NA,NA
"data/input/awards/0001549.xml",2,2000-01-09,1
"data/input/awards/0001582.xml",2,2000-01-09,1
"data/input/awards/0001631.xml",2,2000-01-08,1
"data/input/awards/0001663.xml",2,2000-01-07,1
"data/input/awards/0001684.xml",2,NA,NA
"data/input/awards/0001706.xml",2,NA,NA
"data/input/awards/0001725.xml",2,2000-01-09,1
"data/input/awards/0001751.xml",2,2000-01-07,1
"data/input/awards/0001788.xml",2,2000-01-09,1
"data/input/awards/0001801.xml",2,2000-01-08,1
"data/input/awards/0001826.xml",2,2001-01-01,1
"data/input/awards/0001875.xml",2,NA,NA
"data/input/awards/0001893.xml",2,NA,NA
