"file","group","year","parsed"
"data/input/awards/0000033.xml",7,2001-01-10,1
"data/input/awards/0000089.xml",7,2000-01-09,1
"data/input/awards/0000142.xml",7,NA,NA
"data/input/awards/0000176.xml",7,2000-01-07,1
"data/input/awards/0000186.xml",7,2000-01-02,1
"data/input/awards/0000207.xml",7,2000-01-08,1
"data/input/awards/0000233.xml",7,2000-01-04,1
"data/input/awards/0000255.xml",7,2000-01-08,1
"data/input/awards/0000270.xml",7,2000-01-05,1
"data/input/awards/0000285.xml",7,2000-01-04,1
"data/input/awards/0000309.xml",7,2000-01-07,1
"data/input/awards/0000337.xml",7,2000-01-05,1
"data/input/awards/0000355.xml",7,2000-01-08,1
"data/input/awards/0000377.xml",7,1999-01-12,NA
"data/input/awards/0000406.xml",7,NA,NA
"data/input/awards/0000427.xml",7,2000-01-05,1
"data/input/awards/0000454.xml",7,2001-01-02,1
"data/input/awards/0000481.xml",7,2000-01-04,1
"data/input/awards/0000509.xml",7,NA,NA
"data/input/awards/0000539.xml",7,2000-01-04,1
"data/input/awards/0000561.xml",7,2000-01-01,1
"data/input/awards/0000580.xml",7,NA,NA
"data/input/awards/0000604.xml",7,2000-01-09,1
"data/input/awards/0000629.xml",7,2000-01-10,1
"data/input/awards/0000675.xml",7,2000-01-07,1
"data/input/awards/0000732.xml",7,NA,NA
"data/input/awards/0000796.xml",7,2000-01-08,1
"data/input/awards/0000892.xml",7,NA,NA
"data/input/awards/0000908.xml",7,2000-01-09,1
"data/input/awards/0000941.xml",7,NA,NA
"data/input/awards/0000957.xml",7,2000-01-05,1
"data/input/awards/0000983.xml",7,2000-01-09,1
"data/input/awards/0001003.xml",7,2000-01-07,1
"data/input/awards/0001030.xml",7,2000-01-07,1
"data/input/awards/0001044.xml",7,2000-01-06,1
"data/input/awards/0001080.xml",7,2000-01-09,1
"data/input/awards/0001095.xml",7,NA,NA
"data/input/awards/0001123.xml",7,2000-01-07,1
"data/input/awards/0001136.xml",7,NA,NA
"data/input/awards/0001153.xml",7,NA,NA
"data/input/awards/0001192.xml",7,NA,NA
"data/input/awards/0001223.xml",7,2000-01-06,1
"data/input/awards/0001245.xml",7,2000-01-07,1
"data/input/awards/0001271.xml",7,NA,NA
"data/input/awards/0001296.xml",7,2000-01-06,1
"data/input/awards/0001317.xml",7,NA,NA
"data/input/awards/0001336.xml",7,2000-01-06,1
"data/input/awards/0001362.xml",7,2000-01-09,1
"data/input/awards/0001390.xml",7,2000-01-06,1
"data/input/awards/0001420.xml",7,NA,NA
"data/input/awards/0001441.xml",7,2001-01-02,1
"data/input/awards/0001475.xml",7,2000-01-07,1
"data/input/awards/0001509.xml",7,NA,NA
"data/input/awards/0001538.xml",7,2000-01-06,1
"data/input/awards/0001567.xml",7,NA,NA
"data/input/awards/0001615.xml",7,NA,NA
"data/input/awards/0001643.xml",7,NA,NA
"data/input/awards/0001673.xml",7,2000-01-08,1
"data/input/awards/0001695.xml",7,NA,NA
"data/input/awards/0001714.xml",7,NA,NA
"data/input/awards/0001733.xml",7,2000-01-08,1
"data/input/awards/0001768.xml",7,2000-01-09,1
"data/input/awards/0001794.xml",7,2000-01-05,1
"data/input/awards/0001810.xml",7,2000-01-10,1
"data/input/awards/0001857.xml",7,2000-01-09,1
"data/input/awards/0001885.xml",7,2000-01-04,1
"data/input/awards/0001900.xml",7,NA,NA
"data/input/awards/0001923.xml",7,2001-01-09,1
"data/input/awards/0001944.xml",7,2000-01-10,1
"data/input/awards/0001962.xml",7,2000-01-08,1
"data/input/awards/0001976.xml",7,2000-01-07,1
"data/input/awards/0002001.xml",7,2001-01-07,1
"data/input/awards/0002022.xml",7,NA,NA
"data/input/awards/0002050.xml",7,2000-01-09,1
"data/input/awards/0002073.xml",7,NA,NA
"data/input/awards/0002107.xml",7,2000-01-10,1
"data/input/awards/0002134.xml",7,2000-01-08,1
"data/input/awards/0002166.xml",7,2000-01-08,1
"data/input/awards/0002195.xml",7,2000-01-09,1
"data/input/awards/0002212.xml",7,2000-01-09,1
"data/input/awards/0002227.xml",7,2000-01-09,1
"data/input/awards/0002251.xml",7,NA,NA
"data/input/awards/0002274.xml",7,2000-01-09,1
"data/input/awards/0002301.xml",7,NA,NA
"data/input/awards/0002331.xml",7,2001-01-01,1
