"file","group","year","parsed"
"data/input/awards/0000027.xml",5,NA,NA
"data/input/awards/0000079.xml",5,NA,NA
"data/input/awards/0000136.xml",5,NA,NA
"data/input/awards/0000172.xml",5,2000-01-03,1
"data/input/awards/0000184.xml",5,1999-01-10,NA
"data/input/awards/0000204.xml",5,1999-01-10,NA
"data/input/awards/0000231.xml",5,2000-01-06,1
"data/input/awards/0000251.xml",5,2000-01-07,1
"data/input/awards/0000268.xml",5,2000-01-06,1
"data/input/awards/0000282.xml",5,NA,NA
"data/input/awards/0000303.xml",5,2000-01-09,1
"data/input/awards/0000334.xml",5,2000-01-08,1
"data/input/awards/0000353.xml",5,2000-01-08,1
"data/input/awards/0000374.xml",5,2000-01-03,1
"data/input/awards/0000400.xml",5,2000-01-08,1
"data/input/awards/0000424.xml",5,2000-01-09,1
"data/input/awards/0000448.xml",5,NA,NA
"data/input/awards/0000478.xml",5,2000-01-02,1
"data/input/awards/0000503.xml",5,NA,NA
"data/input/awards/0000530.xml",5,2001-01-03,1
"data/input/awards/0000559.xml",5,NA,NA
"data/input/awards/0000577.xml",5,2000-01-07,1
"data/input/awards/0000597.xml",5,2000-01-05,1
"data/input/awards/0000624.xml",5,NA,NA
"data/input/awards/0000657.xml",5,2000-01-08,1
"data/input/awards/0000728.xml",5,NA,NA
"data/input/awards/0000765.xml",5,2000-01-09,1
"data/input/awards/0000886.xml",5,2000-01-07,1
"data/input/awards/0000904.xml",5,2000-01-05,1
"data/input/awards/0000937.xml",5,2000-01-07,1
"data/input/awards/0000955.xml",5,2000-01-01,1
"data/input/awards/0000981.xml",5,2000-01-09,1
"data/input/awards/0000999.xml",5,2000-01-09,1
"data/input/awards/0001026.xml",5,2000-01-08,1
"data/input/awards/0001041.xml",5,1999-01-12,NA
"data/input/awards/0001069.xml",5,2000-01-08,1
"data/input/awards/0001092.xml",5,2000-01-07,1
"data/input/awards/0001120.xml",5,2000-01-07,1
"data/input/awards/0001133.xml",5,2000-01-08,1
"data/input/awards/0001150.xml",5,2000-01-07,1
"data/input/awards/0001183.xml",5,2000-01-08,1
"data/input/awards/0001217.xml",5,NA,NA
"data/input/awards/0001241.xml",5,2000-01-07,1
"data/input/awards/0001269.xml",5,2000-01-06,1
"data/input/awards/0001294.xml",5,2000-01-06,1
"data/input/awards/0001315.xml",5,2000-01-09,1
"data/input/awards/0001334.xml",5,NA,NA
"data/input/awards/0001354.xml",5,NA,NA
"data/input/awards/0001385.xml",5,2000-01-10,1
"data/input/awards/0001414.xml",5,2000-01-02,1
"data/input/awards/0001438.xml",5,2000-01-05,1
"data/input/awards/0001472.xml",5,NA,NA
"data/input/awards/0001503.xml",5,2000-01-02,1
"data/input/awards/0001534.xml",5,NA,NA
"data/input/awards/0001563.xml",5,2000-01-09,1
"data/input/awards/0001601.xml",5,2000-01-09,1
"data/input/awards/0001634.xml",5,2000-01-06,1
"data/input/awards/0001669.xml",5,NA,NA
"data/input/awards/0001689.xml",5,2000-01-07,1
"data/input/awards/0001711.xml",5,2000-01-07,1
"data/input/awards/0001729.xml",5,2000-01-10,1
"data/input/awards/0001763.xml",5,2000-01-09,1
"data/input/awards/0001792.xml",5,2000-01-05,1
"data/input/awards/0001808.xml",5,2000-01-07,1
"data/input/awards/0001844.xml",5,2000-01-08,1
"data/input/awards/0001880.xml",5,2000-01-08,1
"data/input/awards/0001897.xml",5,2000-01-09,1
"data/input/awards/0001918.xml",5,2000-01-09,1
"data/input/awards/0001938.xml",5,2001-01-10,1
"data/input/awards/0001957.xml",5,2000-01-07,1
"data/input/awards/0001973.xml",5,2001-01-01,1
"data/input/awards/0001997.xml",5,2000-01-06,1
"data/input/awards/0002019.xml",5,2000-01-04,1
"data/input/awards/0002044.xml",5,NA,NA
"data/input/awards/0002071.xml",5,2000-01-09,1
"data/input/awards/0002099.xml",5,2000-01-07,1
"data/input/awards/0002131.xml",5,2001-01-02,1
"data/input/awards/0002157.xml",5,NA,NA
"data/input/awards/0002189.xml",5,NA,NA
"data/input/awards/0002206.xml",5,2000-01-09,1
"data/input/awards/0002225.xml",5,2000-01-09,1
"data/input/awards/0002242.xml",5,2000-01-09,1
"data/input/awards/0002267.xml",5,2000-01-08,1
"data/input/awards/0002295.xml",5,NA,NA
"data/input/awards/0002327.xml",5,NA,NA
