"file","group","year","parsed"
"data/input/awards/0000042.xml",9,NA,NA
"data/input/awards/0000101.xml",9,2000-01-06,NA
"data/input/awards/0000154.xml",9,2000-01-09,NA
"data/input/awards/0000178.xml",9,2000-01-07,NA
"data/input/awards/0000192.xml",9,NA,NA
"data/input/awards/0000211.xml",9,2000-01-08,NA
"data/input/awards/0000240.xml",9,2000-01-06,NA
"data/input/awards/0000257.xml",9,2000-01-06,NA
"data/input/awards/0000273.xml",9,2000-01-11,NA
"data/input/awards/0000291.xml",9,NA,NA
"data/input/awards/0000315.xml",9,NA,NA
"data/input/awards/0000339.xml",9,2000-01-07,NA
"data/input/awards/0000362.xml",9,2000-01-09,NA
"data/input/awards/0000386.xml",9,2000-01-04,NA
"data/input/awards/0000408.xml",9,2000-01-07,NA
"data/input/awards/0000429.xml",9,2000-01-06,NA
"data/input/awards/0000462.xml",9,2000-01-08,NA
"data/input/awards/0000484.xml",9,NA,NA
"data/input/awards/0000516.xml",9,2000-01-10,NA
"data/input/awards/0000542.xml",9,2000-01-09,NA
"data/input/awards/0000566.xml",9,2000-01-01,NA
"data/input/awards/0000582.xml",9,2000-01-06,NA
"data/input/awards/0000610.xml",9,2000-01-09,NA
"data/input/awards/0000636.xml",9,2001-01-01,NA
"data/input/awards/0000716.xml",9,NA,NA
"data/input/awards/0000734.xml",9,2000-01-02,NA
"data/input/awards/0000799.xml",9,2000-01-10,NA
"data/input/awards/0000894.xml",9,2000-01-03,NA
"data/input/awards/0000920.xml",9,2000-01-09,NA
"data/input/awards/0000947.xml",9,2000-01-07,NA
"data/input/awards/0000959.xml",9,2000-01-07,NA
"data/input/awards/0000987.xml",9,1999-01-10,NA
"data/input/awards/0001006.xml",9,2000-01-06,NA
"data/input/awards/0001034.xml",9,2000-01-01,NA
"data/input/awards/0001047.xml",9,NA,NA
"data/input/awards/0001082.xml",9,2000-01-11,NA
"data/input/awards/0001098.xml",9,2000-01-08,NA
"data/input/awards/0001126.xml",9,2000-01-10,NA
"data/input/awards/0001138.xml",9,2000-01-07,NA
"data/input/awards/0001158.xml",9,2001-01-04,NA
"data/input/awards/0001197.xml",9,2001-01-08,NA
"data/input/awards/0001230.xml",9,2000-01-07,NA
"data/input/awards/0001249.xml",9,2000-01-09,NA
"data/input/awards/0001275.xml",9,2000-01-04,NA
"data/input/awards/0001300.xml",9,NA,NA
"data/input/awards/0001323.xml",9,2000-01-06,NA
"data/input/awards/0001343.xml",9,NA,NA
"data/input/awards/0001377.xml",9,2000-01-09,NA
"data/input/awards/0001395.xml",9,2000-01-07,NA
"data/input/awards/0001425.xml",9,2000-01-08,NA
"data/input/awards/0001450.xml",9,NA,NA
"data/input/awards/0001478.xml",9,NA,NA
"data/input/awards/0001518.xml",9,2000-01-05,NA
"data/input/awards/0001542.xml",9,2000-01-04,NA
"data/input/awards/0001576.xml",9,NA,NA
"data/input/awards/0001619.xml",9,NA,NA
"data/input/awards/0001647.xml",9,2000-01-08,NA
"data/input/awards/0001677.xml",9,2000-01-10,NA
"data/input/awards/0001699.xml",9,2000-01-04,NA
"data/input/awards/0001717.xml",9,NA,NA
"data/input/awards/0001744.xml",9,2000-01-09,NA
"data/input/awards/0001773.xml",9,NA,NA
"data/input/awards/0001798.xml",9,2001-01-10,NA
"data/input/awards/0001821.xml",9,2000-01-09,NA
"data/input/awards/0001866.xml",9,2000-01-08,NA
"data/input/awards/0001887.xml",9,2000-01-08,NA
"data/input/awards/0001902.xml",9,2001-01-01,NA
"data/input/awards/0001925.xml",9,2000-01-08,NA
"data/input/awards/0001949.xml",9,NA,NA
"data/input/awards/0001964.xml",9,2000-01-07,NA
"data/input/awards/0001982.xml",9,2000-01-09,NA
"data/input/awards/0002003.xml",9,2001-01-01,NA
"data/input/awards/0002024.xml",9,2000-01-08,NA
"data/input/awards/0002054.xml",9,NA,NA
"data/input/awards/0002085.xml",9,2000-01-05,NA
"data/input/awards/0002117.xml",9,NA,NA
"data/input/awards/0002139.xml",9,2000-01-06,NA
"data/input/awards/0002176.xml",9,NA,NA
"data/input/awards/0002198.xml",9,2001-01-02,NA
"data/input/awards/0002217.xml",9,NA,NA
"data/input/awards/0002231.xml",9,2000-01-06,NA
"data/input/awards/0002254.xml",9,NA,NA
"data/input/awards/0002282.xml",9,2000-01-09,NA
"data/input/awards/0002306.xml",9,2000-01-09,NA
"data/input/awards/0002337.xml",9,2000-01-09,NA
"data/input/awards/0002358.xml",9,NA,NA
"data/input/awards/0002380.xml",9,2001-01-02,NA
"data/input/awards/0002410.xml",9,2001-01-01,NA
"data/input/awards/0002457.xml",9,1999-01-10,NA
"data/input/awards/0002472.xml",9,2000-01-10,NA
"data/input/awards/0002501.xml",9,NA,NA
"data/input/awards/0002535.xml",9,2000-01-10,NA
"data/input/awards/0002565.xml",9,2000-01-04,NA
"data/input/awards/0002599.xml",9,2001-01-04,NA
